REF_DATE,GEO,Building Type,VALUE,STATUS
2020-10,Ontario,Retail buildings,93.1,NA
2020-10,Ontario,Industrial buildings and warehouses,101,NA
2020-10,"Ottawa-Gatineau, Ontario Part, Ontario/Quebec","Total, building type",100.2,NA
2020-10,"Toronto, Ontario","Total, building type",97.8,NA
2020-10,"Toronto, Ontario",Office buildings,102.6,NA
2020-10,"Toronto, Ontario",Retail buildings,87.4,NA
2020-10,"Toronto, Ontario",Industrial buildings and warehouses,100,NA
2020-10,Prairie Region,"Total, building type",96,NA
2020-10,Prairie Region,Office buildings,96.1,NA
2020-10,Prairie Region,Retail buildings,94.1,NA
2020-10,Prairie Region,Industrial buildings and warehouses,97.2,NA
2020-10,Manitoba,"Total, building type",99.8,NA
2020-10,"Winnipeg, Manitoba","Total, building type",99.9,NA
2020-10,Saskatchewan,"Total, building type",96.7,NA
2020-10,"Saskatoon, Saskatchewan","Total, building type",98.5,NA
2020-10,Alberta,"Total, building type",95.2,NA
2020-10,Alberta,Office buildings,94.4,NA
2020-10,Alberta,Retail buildings,93.5,NA
2020-10,Alberta,Industrial buildings and warehouses,96.8,NA
2020-10,"Calgary, Alberta","Total, building type",92.9,NA
2020-10,"Calgary, Alberta",Office buildings,92.8,NA
2020-10,"Calgary, Alberta",Retail buildings,87.9,NA
2020-10,"Calgary, Alberta",Industrial buildings and warehouses,97,NA
2020-10,"Edmonton, Alberta","Total, building type",89.2,NA
2020-10,British Columbia,"Total, building type",99.6,NA
2020-10,British Columbia,Office buildings,103.9,NA
2020-10,British Columbia,Retail buildings,94.7,NA
2020-10,British Columbia,Industrial buildings and warehouses,103,NA
2020-10,"Vancouver, British Columbia","Total, building type",102.2,NA
2020-10,"Vancouver, British Columbia",Office buildings,106.2,NA
2020-10,"Vancouver, British Columbia",Retail buildings,99.4,NA
2020-10,"Vancouver, British Columbia",Industrial buildings and warehouses,101.3,NA
2020-10,Territories,"Total, building type",102.1,NA
2021-01,Canada,"Total, building type",99.8,NA
2021-01,Canada,Office buildings,102.8,NA
2021-01,Canada,Retail buildings,96.1,NA
2021-01,Canada,Industrial buildings and warehouses,101.7,NA
2021-01,Atlantic Region,"Total, building type",99.1,NA
2021-01,Atlantic Region,Office buildings,98.5,NA
2021-01,Atlantic Region,Retail buildings,98.9,NA
2021-01,Atlantic Region,Industrial buildings and warehouses,103.6,NA
2021-01,Newfoundland and Labrador,"Total, building type",97.2,NA
2021-01,"St. John's, Newfoundland and Labrador","Total, building type",97.2,NA
2021-01,Prince Edward Island,"Total, building type",101.3,NA
2021-01,"Charlottetown, Prince Edward Island","Total, building type",100.2,NA
2021-01,New Brunswick,"Total, building type",98.8,NA
2021-01,"Saint John, New Brunswick","Total, building type",99,NA
2021-01,Nova Scotia,"Total, building type",99.7,NA
2021-01,"Halifax, Nova Scotia","Total, building type",100,NA
2021-01,Quebec,"Total, building type",102.2,NA
2021-01,Quebec,Office buildings,106.5,NA
2021-01,Quebec,Retail buildings,99.7,NA
2021-01,Quebec,Industrial buildings and warehouses,102,NA
2021-01,"Montréal, Quebec","Total, building type",104.6,NA
2021-01,"Montréal, Quebec",Office buildings,107.8,NA
2021-01,"Montréal, Quebec",Retail buildings,103,NA
2021-01,"Montréal, Quebec",Industrial buildings and warehouses,102.9,NA
2021-01,"Québec, Quebec","Total, building type",105,NA
2021-01,Ontario,"Total, building type",99.7,NA
2021-01,Ontario,Office buildings,103.6,NA
2021-01,Ontario,Retail buildings,94.9,NA
2021-01,Ontario,Industrial buildings and warehouses,102.1,NA
2021-01,"Ottawa-Gatineau, Ontario Part, Ontario/Quebec","Total, building type",102.5,NA
2021-01,"Toronto, Ontario","Total, building type",100,NA
2021-01,"Toronto, Ontario",Office buildings,103.9,NA
2021-01,"Toronto, Ontario",Retail buildings,92.3,NA
2021-01,"Toronto, Ontario",Industrial buildings and warehouses,101.4,NA
2021-01,Prairie Region,"Total, building type",96.7,NA
2021-01,Prairie Region,Office buildings,97.5,NA
2021-01,Prairie Region,Retail buildings,94.9,NA
2021-01,Prairie Region,Industrial buildings and warehouses,97.5,NA
2021-01,Manitoba,"Total, building type",101,NA
2021-01,"Winnipeg, Manitoba","Total, building type",101,NA
2021-01,Saskatchewan,"Total, building type",96.5,NA
2021-01,"Saskatoon, Saskatchewan","Total, building type",98.2,NA
2021-01,Alberta,"Total, building type",95.9,NA
2021-01,Alberta,Office buildings,96.6,NA
2021-01,Alberta,Retail buildings,93.9,NA
2021-01,Alberta,Industrial buildings and warehouses,96.9,NA
2021-01,"Calgary, Alberta","Total, building type",93.5,NA
2021-01,"Calgary, Alberta",Office buildings,94.2,NA
2021-01,"Calgary, Alberta",Retail buildings,88.9,NA
2021-01,"Calgary, Alberta",Industrial buildings and warehouses,96.4,NA
2021-01,"Edmonton, Alberta","Total, building type",89.7,NA
2021-01,British Columbia,"Total, building type",100.3,NA
2021-01,British Columbia,Office buildings,102.8,NA
2021-01,British Columbia,Retail buildings,94.4,NA
2021-01,British Columbia,Industrial buildings and warehouses,106.4,NA
2021-01,"Vancouver, British Columbia","Total, building type",103.9,NA
2021-01,"Vancouver, British Columbia",Office buildings,106.4,NA
2021-01,"Vancouver, British Columbia",Retail buildings,98,NA
2021-01,"Vancouver, British Columbia",Industrial buildings and warehouses,105.9,NA
2021-01,Territories,"Total, building type",103.1,NA
